title;address;price;rooms;area;floor;max_floor;rent;energy_certificate;form_of_the_property;finishing_condition;balcony_garden_terrace;parking_place;heating;market;advertisement_type;year_of_construction;type_of_development;windows;is_elevator
okazja apartament mieszkanie dwupokojowe;Gajowice, Fabryczna, Wrocław, dolnośląskie;569000;2;39.19;2;7;290;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;miejskie;wtórny;prywatny;2024;apartamentowiec;plastikowe;True
3 pokojowe mieszkanie na sprzedaż/ kredyt #naStart;ul. Eugeniusza Horbaczewskiego, Gądów, Fabryczna, Wrocław, dolnośląskie;750000;3;63.60;4;11;940;;spółdzielcze wł. prawo do lokalu;do zamieszkania;balkon;;kotłownia;wtórny;biuro nieruchomości ;1980;blok;plastikowe;True
Słoneczny apartament, miejsce postojowe w cenie;ul. Babiego Lata, Krzyki, Krzyki, Wrocław, dolnośląskie;865000;2;50.00;3;4;550;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;prywatny;2015;blok;plastikowe;True
3-pokojowe mieszkanie 66m2 + balkon Bezpośrednio;ul. Orawska, Ołtaszyn, Krzyki, Wrocław, dolnośląskie;747450;3;66.44;2;2;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
2-pokojowe mieszkanie 41m2 + balkon;ul. Ślężna, Borek, Krzyki, Wrocław, dolnośląskie;;2;41.69;3;7;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
⭐️3 Pokoje⭐️Oddz. kuchnia⭐️48,70m2⭐️Centr;Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie;672000;3;48.70;1;10;;;;do zamieszkania;;;;wtórny;biuro nieruchomości ;;;;False
2 pokoje, kuchnia, bezpośrednio, ul. Śliczna;ul. Śliczna, Huby, Krzyki, Wrocław, dolnośląskie;625000;2;46.00;5;10;550;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;;;miejskie;wtórny;prywatny;;blok;plastikowe;True
Sprzedam mieszkanie 36m2;Tarnogaj, Krzyki, Wrocław, dolnośląskie;499000;2;36.00;10;10;;;spółdzielcze wł. prawo do lokalu;do zamieszkania;;;miejskie;wtórny;prywatny;;blok;;False
Duże 3-pokojowe mieszkanie w stylowej kamienicy;ul. Stefana Żeromskiego, Ołbin, Śródmieście, Wrocław, dolnośląskie;1100000;3;92.00;2;5;660;;pełna własność;do zamieszkania;balkon;;gazowe;wtórny;prywatny;;kamienica;plastikowe;False
2 pokojowe słoneczne mieszkanie z antresolą;ul. Grunwaldzka, Plac Grunwaldzki, Śródmieście, Wrocław, dolnośląskie;513900;2;46.00;parter;5;285;;pełna własność;do zamieszkania;;garaż/miejsce parkingowe;elektryczne;wtórny;biuro nieruchomości ;1902;kamienica;plastikowe;False
⭐️3-pok z widokiem na panoramę miasta⭐️Sky Tower;ul. Zaporoska, Krzyki, Krzyki, Wrocław, dolnośląskie;570000;3;46.03;10+;11;;;pełna własność;do remontu;balkon;;;wtórny;biuro nieruchomości ;1968;blok;plastikowe;True
3-pokojowe mieszkanie 51m2 + balkon Bez Prowizji;Bakaliowe, Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie;593860;3;51.64;1;1;;;pełna własność;do wykończenia;balkon;;;;;;;;
